Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
1,1.0913,61.1400,1.0063,63.6900
2,1.0343,62.9500,1.0022,64.7400
3,0.9989,64.5075,0.9505,66.2500
4,0.9624,65.9150,0.9156,67.0500
5,0.9279,67.0100,0.8767,68.8800
6,0.9030,67.9000,0.8806,68.4800
7,0.8724,69.2225,0.8469,70.1700
8,0.8416,70.4400,0.8457,69.9900
9,0.8091,71.6525,0.7965,71.3500
10,0.7866,72.5425,0.7845,72.6700
11,0.7568,73.5200,0.7276,73.9500
12,0.7457,73.9975,0.6983,75.3500
13,0.7274,74.6800,0.7202,74.8700
14,0.7155,75.2325,0.6928,76.3400
15,0.7025,75.5775,0.7324,74.3800
16,0.6997,75.8175,0.6633,76.7300
17,0.6893,76.2100,0.6898,75.8800
18,0.6822,76.4150,0.7965,71.9100
19,0.6739,76.8325,0.6877,75.7800
20,0.6679,76.9725,0.6422,77.5800
21,0.6678,76.9225,0.6348,78.0500
22,0.6576,77.2750,0.6728,76.3700
23,0.6590,77.1725,0.6521,77.3400
24,0.6606,76.9150,0.6349,77.8500
25,0.6536,77.5150,0.6463,77.4600
26,0.6564,77.5325,0.6536,77.1900
27,0.6498,77.5100,0.6286,78.0400
28,0.6408,77.7375,0.6362,78.0800
29,0.6485,77.7200,0.6476,77.5700
30,0.6385,77.9700,0.6646,76.5900
31,0.6369,77.9475,0.6206,78.2400
32,0.6308,78.3650,0.6334,78.4300
33,0.6299,78.2475,0.6013,79.1100
34,0.6307,78.0650,0.6095,78.6700
35,0.6298,78.2725,0.6228,78.3100
36,0.6256,78.5200,0.6143,78.3900
37,0.6304,78.2425,0.6373,77.9300
38,0.6236,78.5175,0.6053,78.8000
39,0.6238,78.5900,0.6521,77.1700
40,0.6256,78.3500,0.6017,79.3200
41,0.6239,78.8125,0.6087,78.5300
42,0.6227,78.6300,0.6428,78.0600
43,0.6260,78.2675,0.6091,78.4900
44,0.6211,78.3975,0.6266,78.1300
45,0.6231,78.5700,0.6631,76.7900
46,0.6149,78.8475,0.5960,79.6000
47,0.6165,78.7275,0.5829,79.8600
48,0.6113,79.1875,0.6514,77.3100
49,0.6089,79.0350,0.6101,78.8500
50,0.6051,79.0875,0.6101,78.6100
